category,subcategory,name,depth,reported_count,true_count,was_capped,url
Apple,,Apple,0,1116,1048,NO,https://www.jacob.de/apple/
Apple,Apple Mac,Apple Mac,1,107,98,NO,https://www.jacob.de/apple-mac/
Apple,Apple Mac,Apple MacBook Air,2,34,25,NO,https://www.jacob.de/apple-macbook-air/
Apple,Apple Mac,"13"" MacBook Air (M4)",3,13,13,NO,https://www.jacob.de/apple-13-macbook-air-m4/
Apple,Apple Mac,"15"" MacBook Air (M4)",3,12,12,NO,https://www.jacob.de/apple-15-macbook-air-m4/
Apple,Apple Mac,Apple MacBook Pro,2,14,14,NO,https://www.jacob.de/apple-macbook-pro/
Apple,Apple Mac,"14"" MacBook Pro (M5)",3,6,6,NO,https://www.jacob.de/apple-macbook-14-pro-m5/
Apple,Apple Mac,"14"" MacBook Pro (M4 Pro oder M4 Max)",3,6,6,NO,https://www.jacob.de/apple-macbook-14-pro-m4-pro-m4-max/
Apple,Apple Mac,"16"" MacBook Pro (M4 Pro oder M4 Max)",3,2,2,NO,https://www.jacob.de/apple-macbook-16-pro-m4-pro-m4-max/
Apple,Apple Mac,Apple iMac,2,16,16,NO,https://www.jacob.de/apple-imac/
Apple,Apple Mac,Apple Mac mini,2,4,4,NO,https://www.jacob.de/apple-mac-mini/
Apple,Apple Mac,Apple Mac Studio,2,3,3,NO,https://www.jacob.de/apple-mac-studio/
Apple,Apple Mac,Apple Mac Zubehör,2,36,36,NO,https://www.jacob.de/apple-mac-zubehoer/
Apple,Apple iPad,Apple iPad,1,171,170,NO,https://www.jacob.de/apple-ipad-familie/
Apple,Apple iPad,iPad (A16),2,19,19,NO,https://www.jacob.de/apple-ipad-a16/
Apple,Apple iPad,iPad (10. Generation),2,4,4,NO,https://www.jacob.de/apple-ipad-10-generation/
Apple,Apple iPad,13'' iPad Pro (M5),2,11,11,NO,https://www.jacob.de/apple-13-ipad-pro-m5/
Apple,Apple iPad,11'' iPad Pro (M5),2,13,13,NO,https://www.jacob.de/apple-11-ipad-pro-m5/
Apple,Apple iPad,13'' iPad Pro (M4),2,1,1,NO,https://www.jacob.de/apple-13-ipad-pro-m4/
Apple,Apple iPad,11'' iPad Pro (M4),2,7,7,NO,https://www.jacob.de/apple-11-ipad-pro-m4/
Apple,Apple iPad,13'' iPad Air (M3),2,14,14,NO,https://www.jacob.de/apple-13-ipad-air-m3/
Apple,Apple iPad,11'' iPad Air (M3),2,23,23,NO,https://www.jacob.de/apple-11-ipad-air-m3/
Apple,Apple iPad,iPad mini (A17 Pro),2,17,17,NO,https://www.jacob.de/apple-ipad-mini-a17-pro/
Apple,Apple iPad,Apple iPad Zubehör,2,61,61,NO,https://www.jacob.de/apple-ipad-zubehoer/
Apple,Apple iPhone,Apple iPhone,1,301,276,NO,https://www.jacob.de/apple-iphone/
Apple,Apple iPhone,Apple iPhone,2,,,NO,https://www.jacob.de/apple-iphone-17/
Apple,Apple iPhone,Apple iPhone 17 Pro,2,6,6,NO,https://www.jacob.de/apple-iphone-17-pro/
Apple,Apple iPhone,Apple iPhone 17 Pro Max,2,9,9,NO,https://www.jacob.de/apple-iphone-17-pro-max/
Apple,Apple iPhone,Apple iPhone Air,2,13,13,NO,https://www.jacob.de/apple-iphone-air/
Apple,Apple iPhone,Apple iPhone,2,,,NO,https://www.jacob.de/apple-iphone-16/
Apple,Apple iPhone,Apple iPhone 16 Plus,2,8,8,NO,https://www.jacob.de/apple-iphone-16-plus/
Apple,Apple iPhone,Apple iPhone 16 Pro,2,1,1,NO,https://www.jacob.de/apple-iphone-16-pro/
Apple,Apple iPhone,Apple iPhone 16 Pro Max,2,9,9,NO,https://www.jacob.de/apple-iphone-16-pro-max/
Apple,Apple iPhone,Apple iPhone 16e,2,6,6,NO,https://www.jacob.de/apple-iphone-16e/
Apple,Apple iPhone,Apple iPhone,2,,,NO,https://www.jacob.de/apple-iphone-15/
Apple,Apple iPhone,Apple iPhone Zubehör,2,224,224,NO,https://www.jacob.de/apple-iphone-zubehoer/
Apple,Apple Displays,Apple Displays,1,5,5,NO,https://www.jacob.de/apple-displays/
Apple,Apple Displays,Apple Studio Display,2,3,3,NO,https://www.jacob.de/apple-studio-display/
Apple,Apple Displays,Apple Display Zubehör,2,2,2,NO,https://www.jacob.de/apple-display-zubehoer/
Apple,Apple Watch,Apple Watch,1,241,78,NO,https://www.jacob.de/apple-watch/
Apple,Apple Watch,Apple Watch Ultra,2,,,NO,https://www.jacob.de/apple-watch-ultra-3/
Apple,Apple Watch,Apple Watch Ultra,2,,,NO,https://www.jacob.de/apple-watch-ultra-2/
Apple,Apple Watch,Apple Watch Series,2,,,NO,https://www.jacob.de/apple-watch-series-11/
Apple,Apple Watch,Apple Watch Series,2,,,NO,https://www.jacob.de/apple-watch-series-10/
Apple,Apple Watch,Apple Watch Series,2,,,NO,https://www.jacob.de/apple-watch-series-9/
Apple,Apple Watch,Apple Watch SE,2,,,NO,https://www.jacob.de/apple-watch-se-3/
Apple,Apple Watch,Apple Watch SE,2,,,NO,https://www.jacob.de/apple-watch-se-2/
Apple,Apple Watch,Apple Watch Bands,2,54,54,NO,https://www.jacob.de/apple-watch-bands/
Apple,Apple Watch,Apple Watch Zubehör,2,24,24,NO,https://www.jacob.de/apple-watch-zubehoer/
Apple,Apple AirPods,Apple AirPods,1,34,34,NO,https://www.jacob.de/apple-airpods/
Apple,Apple TV,Apple TV,1,3,3,NO,https://www.jacob.de/apple-tv/
Apple,Apple HomePod,Apple HomePod,1,3,3,NO,https://www.jacob.de/apple-homepod/
Apple,Apple AirTag,Apple AirTag,1,8,8,NO,https://www.jacob.de/apple-airtag/
Apple,Apple Zubehör,Apple Zubehör,1,69,72,NO,https://www.jacob.de/apple-zubehoer/
Apple,Apple Zubehör,Apple Kabel,2,27,27,NO,https://www.jacob.de/apple-kabel/
Apple,Apple Zubehör,Apple Adapter,2,9,9,NO,https://www.jacob.de/apple-adapter/
Apple,Apple Zubehör,Apple Netzteile,2,10,10,NO,https://www.jacob.de/apple-netzteile/
Apple,Apple Zubehör,Apple Maus & Tastatur,2,18,20,NO,https://www.jacob.de/apple-maus-tastatur/
Apple,Apple Zubehör,Apple Magic Keyboard,3,15,15,NO,https://www.jacob.de/apple-magic-keyboard-tastatur/
Apple,Apple Zubehör,Apple Magic Mouse,3,5,5,NO,https://www.jacob.de/apple-magic-mouse-computermaus/
Apple,Apple Zubehör,Sonstiges Apple Zubehör,2,6,6,NO,https://www.jacob.de/apple-mehr-zubehoer/
Apple,Apple Service,Apple Service,1,263,263,NO,https://www.jacob.de/apple-service/
Apple,Apple Outlet,Apple Outlet,1,38,38,NO,https://www.jacob.de/apple-outlet/
Enterprise,,Enterprise,0,53135,51874,YES,https://www.jacob.de/enterprise/
Enterprise,Barcode Scanner,Barcode Scanner,1,598,598,NO,https://www.jacob.de/barcodescanner/
Enterprise,Drucker,Drucker,1,1162,1166,NO,https://www.jacob.de/enterprise-drucker/
Enterprise,Drucker,Belegdrucker,2,64,64,NO,https://www.jacob.de/belegdrucker/
Enterprise,Drucker,Etikettendrucker,2,1084,1084,NO,https://www.jacob.de/etikettendrucker/
Enterprise,Drucker,Plastikkartendrucker,2,18,18,NO,https://www.jacob.de/plastikkartendrucker/
Enterprise,Firewalls,Firewalls,1,24,24,NO,https://www.jacob.de/firewalls/
Enterprise,Handhelds,Handhelds,1,899,899,NO,https://www.jacob.de/handhelds/
Enterprise,Laufwerke & Medien,Laufwerke & Medien,1,136,136,NO,https://www.jacob.de/enterprise-laufwerke-medien/
Enterprise,Laufwerke & Medien,Bandlaufwerke,2,38,38,NO,https://www.jacob.de/bandlaufwerke/
Enterprise,Laufwerke & Medien,Cartridges Bänder,2,98,98,NO,https://www.jacob.de/cartridges-baender-dlt-lto/
Enterprise,Patchpanel,Patchpanel,1,828,828,NO,https://www.jacob.de/patchpanel/
Enterprise,POS,POS,1,855,855,NO,https://www.jacob.de/pos/
Enterprise,POS,POS-Ausstattung,2,247,247,NO,https://www.jacob.de/pos-ausstattung/
Enterprise,POS,POS-Geräte,2,186,186,NO,https://www.jacob.de/pos-geraete/
Enterprise,POS,POS-Gerätezubehör,2,422,422,NO,https://www.jacob.de/pos-geraetezubehoer/
Enterprise,Racks,Racks,1,5204,3938,NO,https://www.jacob.de/racks/
Enterprise,Racks,KVM Konsolen,2,31,31,NO,https://www.jacob.de/kvm-konsolen/
Enterprise,Racks,Racks Zubehör,2,3655,3655,NO,https://www.jacob.de/server-rack-zubehoer/
Enterprise,Racks,Serverschränke / Racks,2,3,3,NO,https://www.jacob.de/server-schraenke-racks/
Enterprise,Racks,Steckdosenleiste,2,249,249,NO,https://www.jacob.de/rack-steckdosenleisten/
Enterprise,Redundante Stromversorgung,Redundante Stromversorgung,1,18,18,NO,https://www.jacob.de/redundante-stromversorgung/
Enterprise,Server,Server,1,205,205,NO,https://www.jacob.de/server/
Enterprise,Service & Support,Service & Support,1,41459,41459,YES,https://www.jacob.de/service-support/
Enterprise,Service & Support,Ausgabegeräte,2,3004,3004,NO,https://www.jacob.de/service-support-ausgabegeraete/
Enterprise,Service & Support,Eingabegeräte,2,621,621,NO,https://www.jacob.de/service-support-eingabegeraete/
Enterprise,Service & Support,Netzwerk,2,5427,5427,NO,https://www.jacob.de/service-support-netzwerk/
Enterprise,Service & Support,Software,2,7554,7554,NO,https://www.jacob.de/service-support-software/
Enterprise,Service & Support,Speichergeräte,2,246,246,NO,https://www.jacob.de/service-support-speichergeraete/
Enterprise,Service & Support,Systeme,2,17233,17233,YES,https://www.jacob.de/service-support-systeme/
Enterprise,Service & Support,Weiterer Service & Support,2,7374,7374,NO,https://www.jacob.de/service-support-divers/
Enterprise,Storage Systeme,Storage Systeme,1,266,266,NO,https://www.jacob.de/storage-systeme/
Enterprise,Telefonanlagen,Telefonanlagen,1,259,259,NO,https://www.jacob.de/telefon-anlagen/
Enterprise,Thin Clients,Thin Clients,1,28,28,NO,https://www.jacob.de/thin-clients/
Enterprise,Unterbrechungsfreie Stromversorgung (USV),Unterbrechungsfreie Stromversorgung (USV),1,996,996,NO,https://www.jacob.de/usv-stromversorgung/
Enterprise,Workstations,Workstations,1,199,199,NO,https://www.jacob.de/workstations/
Haushalt,,Haushalt,0,40822,40585,YES,https://www.jacob.de/haushalt/
Haushalt,Baby- & Kleinkindbedarf,Baby- & Kleinkindbedarf,1,74,5,NO,https://www.jacob.de/baby-kleinkind-bedarf/
Haushalt,Baby- & Kleinkindbedarf,Babyphone,2,5,5,NO,https://www.jacob.de/babyphone/
Haushalt,Batterien,Batterien,1,152,152,NO,https://www.jacob.de/batterien/
Haushalt,Elektro & Installation,Elektro & Installation,1,28519,28519,YES,https://www.jacob.de/elektro-installation/
Haushalt,Elektro & Installation,Antriebstechnik,2,88,88,NO,https://www.jacob.de/elektro-installation-antriebstechnik/
Haushalt,Elektro & Installation,Bauelemente (aktiv),2,560,560,NO,https://www.jacob.de/aktive-bauelemente/
Haushalt,Elektro & Installation,Bauelemente (passiv),2,159,159,NO,https://www.jacob.de/passive-bauelemente/
Haushalt,Elektro & Installation,Elektroinstallation,2,11149,11149,YES,https://www.jacob.de/elektroinstallation/
Haushalt,Elektro & Installation,Gefahrenmelder,2,7,7,NO,https://www.jacob.de/gefahrenmelder-rauchmelder/
Haushalt,Elektro & Installation,Heizung & Warmwasserinstallation,2,179,179,NO,https://www.jacob.de/heizung-warmwasserinstallation/
Haushalt,Elektro & Installation,Kabeltrommel (Strom),2,79,79,NO,https://www.jacob.de/kabeltrommeln-strom-verlaengerung/
Haushalt,Elektro & Installation,Leiterplatten & Entwicklungskits,2,452,452,NO,https://www.jacob.de/leiterplatten-entwicklungskits/
Haushalt,Elektro & Installation,Optoelektronik,2,149,149,NO,https://www.jacob.de/elektro-installation-optoelektronik/
Haushalt,Elektro & Installation,Pneumatik & Allfluid,2,39,39,NO,https://www.jacob.de/elektro-installation-pneumatik-allfluid/
Haushalt,Elektro & Installation,Relais,2,2216,2216,NO,https://www.jacob.de/elektro-installation-relais/
Haushalt,Elektro & Installation,Sanitärinstallation,2,184,184,NO,https://www.jacob.de/installation-sanitaerinstallation/
Haushalt,Elektro & Installation,Schalter & Taster,2,2627,2627,NO,https://www.jacob.de/elektro-installation-schalter-taster/
Haushalt,Elektro & Installation,Schalterserien,2,2650,2650,NO,https://www.jacob.de/elektro-installation-schalterserien/
Haushalt,Elektro & Installation,Sensoren,2,349,349,NO,https://www.jacob.de/elektro-installation-sensoren/
Haushalt,Elektro & Installation,Sicherheitstechnik,2,1142,1142,NO,https://www.jacob.de/elektro-installation-sicherheitstechnik/
Haushalt,Elektro & Installation,Sicherungen,2,171,171,NO,https://www.jacob.de/elektro-installation-sicherungen/
Haushalt,Elektro & Installation,Smart Home,2,1733,1733,NO,https://www.jacob.de/smart-home/
Haushalt,Elektro & Installation,Steckdosenleiste,2,1132,1132,NO,https://www.jacob.de/steckdosenleisten-mehrfachstecker/
Haushalt,Elektro & Installation,Steckverbinder & Klemmen,2,3294,3294,NO,https://www.jacob.de/steckverbinder-klemmen/
Haushalt,Elektro & Installation,Transformatoren,2,48,48,NO,https://www.jacob.de/elektro-installation-transformatoren/
Haushalt,Elektro & Installation,Verlängerungskabel,2,112,112,NO,https://www.jacob.de/verlaengerungskabel/
Haushalt,Garten,Garten,1,1086,966,NO,https://www.jacob.de/garten-heimwerken/
Haushalt,Garten,Ast- & Rebenschere,2,83,83,NO,https://www.jacob.de/garten-ast-rebenscheren/
Haushalt,Garten,Garten Bewässerung & Belüftung,2,701,701,NO,https://www.jacob.de/garten-bewaesserung-belueftung/
Haushalt,Garten,Gartenhandschuhe,2,10,10,NO,https://www.jacob.de/garden-handschuhe/
Haushalt,Garten,Grillen,2,19,19,NO,https://www.jacob.de/garten-grillen-barbecue/
Haushalt,Garten,Heckenschere,2,50,50,NO,https://www.jacob.de/garten-heckenschere/
Haushalt,Garten,Kettensäge,2,44,44,NO,https://www.jacob.de/garten-kettensaegen/
Haushalt,Garten,Laubbläser,2,37,37,NO,https://www.jacob.de/garten-laubblaeser/
Haushalt,Garten,Laubsammler,2,2,2,NO,https://www.jacob.de/garten-laubsammler/
Haushalt,Garten,Rasenmäher und Roboter,2,20,20,NO,https://www.jacob.de/garden-grass/
Haushalt,Geschirr,Geschirr,1,373,373,NO,https://www.jacob.de/geschirr/
Haushalt,Geschirr,Besteck,2,41,41,NO,https://www.jacob.de/geschirr-besteck/
Haushalt,Geschirr,Frischhaltedosen,2,52,52,NO,https://www.jacob.de/geschirr-frischhaltedosen/
Haushalt,Geschirr,Papp-Geschirr,2,39,39,NO,https://www.jacob.de/papp-geschirr/
Haushalt,Geschirr,Schüsseln,2,35,35,NO,https://www.jacob.de/geschirr-schuesseln/
Haushalt,Geschirr,Servietten,2,72,72,NO,https://www.jacob.de/servietten/
Haushalt,Geschirr,Tassen,2,25,25,NO,https://www.jacob.de/geschirr-tassen/
Haushalt,Geschirr,Teller,2,43,43,NO,https://www.jacob.de/geschirr-teller/
Haushalt,Geschirr,Tischdecken,2,20,20,NO,https://www.jacob.de/tischdecken/
Haushalt,Geschirr,Trinkflaschen,2,46,46,NO,https://www.jacob.de/geschirr-trinkflaschen/
Haushalt,Gesundheit & Wellness,Gesundheit & Wellness,1,392,392,NO,https://www.jacob.de/gesundheit-wellness/
Haushalt,Gesundheit & Wellness,Blutdruckmessgeräte,2,19,19,NO,https://www.jacob.de/blutdruckmessgeraete/
Haushalt,Gesundheit & Wellness,Gesundheit,2,195,195,NO,https://www.jacob.de/gesundheit-geraete/
Haushalt,Gesundheit & Wellness,Heizdecken & Kissen,2,27,27,NO,https://www.jacob.de/heizdecken-kissen/
Haushalt,Gesundheit & Wellness,Massagegerät,2,35,35,NO,https://www.jacob.de/massagegeraete/
Haushalt,Gesundheit & Wellness,Personenwaage,2,67,67,NO,https://www.jacob.de/personenwaagen/
Haushalt,Gesundheit & Wellness,Verbandsmaterial,2,49,49,NO,https://www.jacob.de/verbandsmaterial/
Haushalt,"Heizung, Lüftung & Klima","Heizung, Lüftung & Klima",1,197,190,NO,https://www.jacob.de/heizung-lueftung-klima/
Haushalt,"Heizung, Lüftung & Klima",Klimaanlagen,2,3,3,NO,https://www.jacob.de/elektro-installation-klimaanlagen/
Haushalt,"Heizung, Lüftung & Klima",Luftbe-/entfeuchter/-reiniger,2,31,31,NO,https://www.jacob.de/luftbefeuchter-entfeuchter-luftreiniger/
Haushalt,"Heizung, Lüftung & Klima",Ventilator,2,30,23,NO,https://www.jacob.de/ventilatoren/
Haushalt,"Heizung, Lüftung & Klima",Deckenventilator,3,1,1,NO,https://www.jacob.de/deckenventilatoren/
Haushalt,"Heizung, Lüftung & Klima",Handventilator,3,7,7,NO,https://www.jacob.de/handventilatoren/
Haushalt,"Heizung, Lüftung & Klima",Standventilator,3,8,8,NO,https://www.jacob.de/standventilatoren/
Haushalt,"Heizung, Lüftung & Klima",Tischventilator,3,4,4,NO,https://www.jacob.de/tischventilatoren/
Haushalt,"Heizung, Lüftung & Klima",Wandventilator,3,3,3,NO,https://www.jacob.de/wandventilatoren/
Haushalt,"Heizung, Lüftung & Klima",Wetterstation,2,133,133,NO,https://www.jacob.de/wetterstationen/
Haushalt,Hobby & Freizeit,Hobby & Freizeit,1,2762,2733,NO,https://www.jacob.de/hobby-freizeit/
Haushalt,Hobby & Freizeit,Camping & Outdoor,2,750,750,NO,https://www.jacob.de/camping-outdoor/
Haushalt,Hobby & Freizeit,Ferngläser,2,29,29,NO,https://www.jacob.de/fernglaeser/
Haushalt,Hobby & Freizeit,Modellbau,2,410,410,NO,https://www.jacob.de/modellbau/
Haushalt,Hobby & Freizeit,Modellauto,3,140,140,NO,https://www.jacob.de/modellautos/
Haushalt,Hobby & Freizeit,Modelleisenbahn,3,192,192,NO,https://www.jacob.de/modelleisenbahn/
Haushalt,Hobby & Freizeit,Modellflugzeug,3,5,5,NO,https://www.jacob.de/modellflugzeuge/
Haushalt,Hobby & Freizeit,Multikopter,3,73,73,NO,https://www.jacob.de/multikoper-drohnen/
Haushalt,Hobby & Freizeit,Musikinstrumente,2,397,397,NO,https://www.jacob.de/music-instruments/
Haushalt,Hobby & Freizeit,Nebelmaschinen,2,21,21,NO,https://www.jacob.de/nebelmaschine/
Haushalt,Hobby & Freizeit,Spielzeug,2,1155,1126,NO,https://www.jacob.de/spielzeug/
Haushalt,Hobby & Freizeit,Brettspiele,3,19,19,NO,https://www.jacob.de/brettspiele-gesellschaftsspiele/
Haushalt,Hobby & Freizeit,Bügelperlen,3,82,82,NO,https://www.jacob.de/spielzeug-perlen/
Haushalt,Hobby & Freizeit,Experimentierkästen,3,1,1,NO,https://www.jacob.de/experimentierkaesten/
Haushalt,Hobby & Freizeit,Gartenspielzeug,3,1,1,NO,https://www.jacob.de/gartenspielzeug/
Haushalt,Hobby & Freizeit,Lernspielzeug,3,7,7,NO,https://www.jacob.de/lernspielzeug/
Haushalt,Hobby & Freizeit,Spielzeugauto,3,191,191,NO,https://www.jacob.de/spielzeugautos/
Haushalt,Hobby & Freizeit,Systemspielzeug,3,11,11,NO,https://www.jacob.de/systemspielzeug/
Haushalt,Hobby & Freizeit,LEGO,3,754,754,NO,https://www.jacob.de/spielzeug-lego/
Haushalt,Hobby & Freizeit,Vtech,3,36,36,NO,https://www.jacob.de/spielkzeug-vtech/
Haushalt,Hobby & Freizeit,Playmobil,3,24,24,NO,https://www.jacob.de/spielzeug-playmobil/
Haushalt,Körperpflege,Körperpflege,1,759,759,NO,https://www.jacob.de/koerperpflege/
Haushalt,Körperpflege,Epilierer,2,31,31,NO,https://www.jacob.de/epilierer/
Haushalt,Körperpflege,Föhn / Haartrockner,2,60,60,NO,https://www.jacob.de/haartrockner/
Haushalt,Körperpflege,Glätteisen,2,26,26,NO,https://www.jacob.de/glaetteisen/
Haushalt,Körperpflege,Haarschneider,2,51,51,NO,https://www.jacob.de/haarschneider/
Haushalt,Körperpflege,Körperpflege,2,466,466,NO,https://www.jacob.de/pflegeutensilien/
Haushalt,Körperpflege,Lockenstäbe,2,10,10,NO,https://www.jacob.de/lockenstaebe/
Haushalt,Körperpflege,Rasierer,2,50,50,NO,https://www.jacob.de/rasierer/
Haushalt,Körperpflege,Zahnbürste,2,65,65,NO,https://www.jacob.de/zahnbuerste/
Haushalt,Küche,Küche,1,1511,1523,NO,https://www.jacob.de/kueche/
Haushalt,Küche,Brotbackautomat,2,10,10,NO,https://www.jacob.de/kueche-brotbackautomaten/
Haushalt,Küche,Crèpes Eisen,2,6,6,NO,https://www.jacob.de/kueche-crepes-eisen/
Haushalt,Küche,Dampfgarer,2,16,16,NO,https://www.jacob.de/kueche-dampfgarer/
Haushalt,Küche,Donut-Maker,2,1,1,NO,https://www.jacob.de/kueche-donut-maker/
Haushalt,Küche,Eierkocher,2,36,36,NO,https://www.jacob.de/kueche-eierkocher/
Haushalt,Küche,Eismaschine,2,26,26,NO,https://www.jacob.de/kueche-eismaschinen/
Haushalt,Küche,Entsafter,2,53,53,NO,https://www.jacob.de/kueche-entsafter/
Haushalt,Küche,Fritteusen,2,99,99,NO,https://www.jacob.de/fritteusen/
Haushalt,Küche,Grill,2,60,60,NO,https://www.jacob.de/kueche-grills/
Haushalt,Küche,Handmixer,2,26,26,NO,https://www.jacob.de/kueche-handmixer/
Haushalt,Küche,Kaffeemaschinen,2,30,30,NO,https://www.jacob.de/kueche-kaffeemaschinen/
Haushalt,Küche,Kaffeemaschinen,3,30,30,NO,https://www.jacob.de/kaffeemaschinen/
Haushalt,Küche,Kochplatten,2,15,15,NO,https://www.jacob.de/kueche-kochplatten/
Haushalt,Küche,Küchenmaschinen,2,68,68,NO,https://www.jacob.de/kueche-kuechenmaschinen/
Haushalt,Küche,Küchenwaagen,2,64,64,NO,https://www.jacob.de/kueche-kuechenwaagen/
Haushalt,Küche,Mikrowellen,2,96,96,NO,https://www.jacob.de/kueche-mikrowellen/
Haushalt,Küche,Pizzadom,2,6,6,NO,https://www.jacob.de/pizzadom/
Haushalt,Küche,Sandwich Maker,2,34,34,NO,https://www.jacob.de/kueche-sandwich-maker/
Haushalt,Küche,Schneidemaschinen,2,51,51,NO,https://www.jacob.de/kueche-schneidemaschinen/
Haushalt,Küche,Stabmixer,2,168,168,NO,https://www.jacob.de/kueche-stabmixer/
Haushalt,Küche,Standmixer,2,99,99,NO,https://www.jacob.de/kueche-standmixer/
Haushalt,Küche,Toaster,2,149,149,NO,https://www.jacob.de/kueche-toaster/
Haushalt,Küche,Waffeleisen,2,60,60,NO,https://www.jacob.de/kueche-waffeleisen/
Haushalt,Küche,Wasserfilter,2,39,39,NO,https://www.jacob.de/kueche-wasserfilter/
Haushalt,Küche,Wasserkocher,2,299,299,NO,https://www.jacob.de/kueche-wasserkocher/
Haushalt,Küche,Ninja Heißluftfritteusen,2,12,12,NO,https://www.jacob.de/ninja-heissluftfritteusen/
Haushalt,Navigationsgeräte,Navigationsgeräte,1,53,53,NO,https://www.jacob.de/navigation-navigationsgeraete/
Haushalt,Reinigung,Reinigung,1,781,781,NO,https://www.jacob.de/reinigung/
Haushalt,Reinigung,Bügeleisen,2,128,128,NO,https://www.jacob.de/buegeleisen/
Haushalt,Reinigung,Dampfreiniger,2,29,29,NO,https://www.jacob.de/dampfreiniger/
Haushalt,Reinigung,Handstaubsauger,2,114,114,NO,https://www.jacob.de/handstaubsauger/
Haushalt,Reinigung,Hochdruckreiniger,2,109,109,NO,https://www.jacob.de/hochdruckreiniger/
